Car_Number,Type_of_report,Report_Location
"EC,905571",Camera,"Ajmal Khan Road "
"SA,177322",Camera,"Najaf Khan Road "
"VG,229539",Camera,"Akbar Road "
"SL,423230",Manual_Report,"Najaf Khan Road "
"ST,642210",Camera,"Akbar Road "
"ID,154233",Manual_Report,"Dr APJ Abdul Kalam Road "
"MA,307873",Manual_Report,"Ajmal Khan Road "
"AS,974818",Manual_Report,"Jai Singh Marg "
"ZW,933252",Manual_Report,"Connaught Lane "
"CM,403107",Camera,"Akbar Road "
"GS,724019",Manual_Report,"Connaught Lane "
"JO,376884",Camera,"Akbar Road "
"VG,201260",Manual_Report,"Netaji Subhash Marg "
"DJ,597493",Camera,"Najaf Khan Road "
"ST,642210",Manual_Report,"Dr APJ Abdul Kalam Road "
"TV,634065",Manual_Report,"Akbar Road "
"FK,837823",Camera,"Ajmal Khan Road "
"GF,473965",Manual_Report,"Ajmal Khan Road "
"SB,763210",Camera,"Jai Singh Marg "
"KZ,616300",Camera,"Connaught Lane "
"ID,465966",Camera,"Akbar Road "
"GE,981637",Camera,"Dr APJ Abdul Kalam Road "
"HR,936158",Camera,"Dr APJ Abdul Kalam Road "
"LK,415492",Manual_Report,"Ajmal Khan Road "
"CF,862743",Camera,"Dr APJ Abdul Kalam Road "
"MA,929957",Camera,"Dr APJ Abdul Kalam Road "
"SJ,245127",Camera,"Najaf Khan Road "
"GM,579071",Camera,"Jai Singh Marg "
"KZ,616300",Manual_Report,"Akbar Road "
"NC,881625",Camera,"Dr APJ Abdul Kalam Road "
"HM,825734",Camera,"Jai Singh Marg "
"SN,797522",Camera,"Jai Singh Marg "
"BW,434358",Manual_Report,"Ajmal Khan Road "
"MQ,937797",Camera,"Connaught Lane "
"CU,531149",Manual_Report,"Akbar Road "
"SV,705666",Camera,"Connaught Lane "
"BG,527788",Manual_Report,"Najaf Khan Road "
"GS,724019",Manual_Report,"Dr APJ Abdul Kalam Road "
"FJ,906817",Camera,"Ajmal Khan Road "
"GH,836909",Camera,"Connaught Lane "
"MA,307873",Manual_Report,"Jai Singh Marg "
"GI,197831",Manual_Report,"Netaji Subhash Marg "
"BY,776147",Manual_Report,"Najaf Khan Road "
"NP,551373",Manual_Report,"Najaf Khan Road "
"LB,884650",Camera,"Ajmal Khan Road "
"MM,674811",Manual_Report,"Connaught Lane "
"ML,193356",Manual_Report,"Jai Singh Marg "
"TL,972584",Camera,"Jai Singh Marg "
"VI,191752",Camera,"Ajmal Khan Road "
"MM,146501",Camera,"Ajmal Khan Road "
"SO,423151",Manual_Report,"Ajmal Khan Road "
"FJ,723821",Camera,"Ajmal Khan Road "
"AW,549996",Camera,"Netaji Subhash Marg "
"MP,446334",Manual_Report,"Netaji Subhash Marg "
"NA,793561",Manual_Report,"Connaught Lane "
"BI,292773",Camera,"Akbar Road "
"MS,377612",Camera,"Connaught Lane "
"GY,238480",Manual_Report,"Jai Singh Marg "
"LA,682314",Manual_Report,"Jai Singh Marg "
"DJ,597493",Camera,"Najaf Khan Road "
"NZ,204524",Manual_Report,"Dr APJ Abdul Kalam Road "
"VE,190965",Camera,"Dr APJ Abdul Kalam Road "
"UZ,199272",Camera,"Ajmal Khan Road "
"CD,941401",Manual_Report,"Akbar Road "
"TD,959735",Manual_Report,"Akbar Road "
"ES,620711",Camera,"Ajmal Khan Road "
"GL,788860",Manual_Report,"Connaught Lane "
"CI,315454",Camera,"Dr APJ Abdul Kalam Road "
"AZ,959481",Camera,"Netaji Subhash Marg "
"PN,138611",Camera,"Najaf Khan Road "
"SA,635389",Camera,"Najaf Khan Road "
"ZA,340248",Manual_Report,"Akbar Road "
"GN,153359",Camera,"Dr APJ Abdul Kalam Road "
"AN,337354",Manual_Report,"Ajmal Khan Road "
"NG,902657",Camera,"Ajmal Khan Road "
"IS,278161",Camera,"Ajmal Khan Road "
"CU,618702",Camera,"Akbar Road "
